epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.5014412170423515,0.8149200186512128,0.933907920257835,0.6507631648476719,0.7670397719446391,0.4304197743723664,0.8706611983595078,0.9657847875858561,0.8811651386793548,0.9215365010012744
2,0.411933513909542,0.8302454157031792,0.9045193076585756,0.7126699591488324,0.7972149596453336,0.28414328056800214,0.9083725117535261,0.9484103877955048,0.9451085064407566,0.9467565682399443
3,0.3914111186903374,0.8379580728348892,0.900494168315969,0.7351482633172775,0.8094638671164744,0.27246489479571956,0.9046714014204261,0.9443413729128015,0.9451085064407566,0.9447247839452468
4,0.3750846941255478,0.8412886465500015,0.9196763829210699,0.7242851045667947,0.8103692333930247,0.2630135394349883,0.9124737421226368,0.9482399258916165,0.9503307415573866,0.9492841824610213
5,0.3646087081837451,0.8434677933521748,0.8941029250743,0.7551165579334593,0.8187532710795251,0.24024490927216374,0.916074822446734,0.9398326170549649,0.9643727515376581,0.9519445558164843
6,0.356338641457668,0.853530883934264,0.9248040004020505,0.7479930085563888,0.8270542365644558,0.27743074411078344,0.9078723617085126,0.9513253577292986,0.941278867355228,0.9462754477046025
7,0.34875079972190776,0.8611103181173694,0.913228814672414,0.7772087067861716,0.8397463698498532,0.2655420265620268,0.9096729018705612,0.9443548387096774,0.9512591389114541,0.9477944152165115
8,0.3443361978692056,0.8613624901272279,0.931329082395138,0.7599333373981262,0.8369464247742051,0.29055869673626333,0.9036711013303991,0.9525780510879849,0.9347800858767552,0.9435951502372166
9,0.3382190839817405,0.865549497083369,0.9272211259714,0.7735605552506961,0.8434494526437087,0.28619246769555007,0.9031709512853856,0.9523358959195742,0.93443193686898,0.9432989690721649
10,0.33238674805530244,0.8687658796996774,0.9445058117641152,0.7646383350608703,0.8451075969270857,0.2903261267686192,0.9046714014204261,0.9606876653041596,0.9273529070442149,0.9437260112193682
